label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost,M,q_outlier
EX:GATE_IO,2025-05-01,Q0.9000_0.9500,3.462436015463782e-05,3.5459089029263437e-06,2248,0.05476690400707085,0.00011681102287943437,2.084346108940707e-06,0.00014751449332448094,0.52333763696849,True,0.0002617639613756112,10,0.999
EX:GATE_IO,2025-05-02,Q0.8000_0.9000,4.46117560702085e-05,4.18030075918623e-06,3109,0.04487890389508753,9.996391287391663e-05,0.044966613882031485,5.382878855563822e-05,0.30810300835577226,True,0.00038108362066228236,10,0.999
EX:GATE_IO,2025-05-02,Q0.9000_0.9500,3.853439666819873e-05,3.719439093610771e-06,2413,0.06027102446032717,8.315658737360918e-05,0.18389447937378198,9.766574032287948e-05,0.4841632163113477,True,0.0003152790213228321,10,0.999
EX:GATE_IO,2025-05-03,Q0.8000_0.9000,3.774310800636997e-05,4.557871967037547e-06,1786,0.04451003202955073,4.370547160585959e-05,0.4163225654007798,3.173525910876365e-05,0.4116778902618076,True,0.00015249233239588504,10,0.999
EX:GATE_IO,2025-05-03,Q0.9000_0.9500,3.155643589246881e-05,4.3113895590380265e-06,1439,0.05841743528144416,0.00011019013998913815,1.0000002926141518e-06,0.0001714875841428371,0.6294508917786027,True,0.00013780415540844035,10,0.999
EX:GATE_IO,2025-05-04,Q0.8000_0.9000,3.990925506160942e-05,4.785456998383379e-06,2410,0.03833359229491229,9.525558059671969e-05,0.00025535704488445515,5.9837421900174095e-05,0.3695713194873291,True,0.0002674434466345147,10,0.999
EX:GATE_IO,2025-05-04,Q0.9000_0.9500,4.751278345083799e-05,4.10234735694753e-06,1480,0.09217705622716732,0.0001626874643549968,2.7525469698885002e-06,0.0002064881720961779,0.5185546136448571,True,0.0001914841340972193,10,0.999
EX:GATE_IO,2025-05-05,Q0.8000_0.9000,4.4281351683107534e-05,4.58738491461038e-06,2958,0.036329415494411044,0.00010957840238020327,1.0000000075391935e-06,6.636366060876477e-05,0.3527169994247021,True,0.0004330104523162261,10,0.999
EX:GATE_IO,2025-05-05,Q0.9000_0.9500,3.569135704103256e-05,4.693745281590006e-06,1251,0.05080062016553877,2.9083184771865406e-05,0.583012222927814,5.4243891640966534e-05,0.753298910798676,True,0.0001730719821577992,10,0.999
EX:GATE_IO,2025-05-06,Q0.8000_0.9000,4.730079559849653e-05,3.883283404339062e-06,2993,0.07402676186376034,0.00011254170025619407,0.001005012165056955,4.4739836674723576e-05,0.23427781969929218,True,0.00023167612258477715,10,0.999
EX:GATE_IO,2025-05-06,Q0.9000_0.9500,3.2596718016878224e-05,3.227529746097428e-06,1310,0.08026168237037223,0.00011314396109701569,0.00014903620931193656,0.00016601975435255722,0.5947226831266577,True,9.458969630078145e-05,10,0.999
EX:GATE_IO,2025-05-07,Q0.8000_0.9000,4.4258687697999026e-05,3.202183951690102e-06,3567,0.08328177383309365,0.00010642482626938055,0.0005369829032411735,3.797770425979752e-05,0.20734284784608892,True,0.00021774407388606358,10,0.999
EX:GATE_IO,2025-05-07,Q0.9000_0.9500,2.9048671958207112e-05,2.8183763272978614e-06,1610,0.07760122120091051,0.00010148740890482507,0.001542456327947742,0.0001409484170469613,0.5603253488385405,True,9.673159059731226e-05,10,0.999
EX:GATE_IO,2025-05-07,Q0.9500_0.9700,2.0608246315371355e-05,2.621481710327391e-06,1090,0.07715209021885239,4.78143205559864e-06,0.9999989999969494,1.2669727834003816e-05,0.8996369354545137,True,5.144887558448351e-05,10,0.999
EX:GATE_IO,2025-05-08,Q0.8000_0.9000,3.9153557803473736e-05,2.282015112916181e-06,7727,0.053415294811933633,3.657199289621627e-05,0.5384834285181594,1.2017104072816808e-05,0.18300380870208338,True,0.0005957170493270355,10,0.999
EX:GATE_IO,2025-05-08,Q0.9000_0.9500,3.637585200321654e-05,2.403923365931142e-06,3475,0.08189372357581526,0.0001246456014616681,0.0015239710712439548,0.0001074376539510632,0.35202624330224974,True,0.000300148861797965,10,0.999
EX:GATE_IO,2025-05-08,Q0.9500_0.9700,2.8022110258495632e-05,2.433642159905957e-06,1905,0.09243584504059654,9.075321528897676e-06,0.884175732686955,1.5731259566855574e-05,0.5879337015388357,True,0.00013704852692989348,10,0.999
EX:GATE_IO,2025-05-08,Q0.9700_0.9900,2.473123335373003e-05,2.027755233875861e-06,1739,0.11320034207774687,2.6454697906822802e-05,0.4808445329543393,3.0594907908226375e-05,0.32840641028905265,True,0.0001374956251213669,10,0.999
EX:GATE_IO,2025-05-09,Q0.8000_0.9000,5.2705435685529623e-05,2.6870871930906496e-06,7704,0.06731865237718004,0.000129965675609433,1.0000000154419669e-06,3.690014272962173e-05,0.16130929411171888,True,0.0008719673894126001,10,0.999
EX:GATE_IO,2025-05-09,Q0.9000_0.9500,4.2768788883948476e-05,2.2028450815270636e-06,5138,0.08405632454972967,0.0001463307814355735,0.0017637420227296766,0.00010110037000513137,0.28270551914438,True,0.0005934324404971063,10,0.999
EX:GATE_IO,2025-05-09,Q0.9500_0.9700,3.1291794968755276e-05,2.7836250226773433e-06,1992,0.08293355773667888,0.00013685361648971568,0.00017718042618561865,0.0002550892123355713,0.6344204678542915,True,0.00020434755306345459,10,0.999
EX:GATE_IO,2025-05-09,Q0.9700_0.9900,2.9480731089239463e-05,2.221258605436403e-06,2172,0.1248082369418505,5.330285827051338e-05,0.33135505574702834,5.004031735244447e-05,0.26771687850734227,True,0.00021762746597182278,10,0.999
EX:GATE_IO,2025-05-10,Q0.8000_0.9000,4.583842026620921e-05,3.1939917946398766e-06,3527,0.068050119391176,7.997828981154305e-05,0.19273578627796115,3.50398986062398e-05,0.24331046506297632,True,0.00030373032441716023,10,0.999
EX:GATE_IO,2025-05-10,Q0.9000_0.9500,3.599512444464115e-05,2.75699216927792e-06,2457,0.08194322532387632,0.0001275569333175274,1.000000001802458e-06,0.00012749296079744978,0.40246238546601354,True,0.00021461831261760753,10,0.999
EX:GATE_IO,2025-05-10,Q0.9700_0.9900,2.656306484493608e-05,2.438863636296701e-06,1055,0.13764364456190248,7.859794166982355e-05,0.18980522824787469,0.00010416872448865838,0.38040145104505274,True,7.589608148626624e-05,10,0.999
EX:GATE_IO,2025-05-11,Q0.8000_0.9000,5.255468099233579e-05,3.4240474480436886e-06,4465,0.06952251928892839,7.484555031509768e-05,0.3055723573440636,3.0163898056106015e-05,0.22164699947489253,True,0.0004964520135678992,10,0.999
EX:GATE_IO,2025-05-11,Q0.9000_0.9500,4.412226731505697e-05,3.155933581537243e-06,2782,0.08865921643740682,0.00015240904532985068,0.0002532704025355285,0.00014251654687579042,0.37922389682321234,True,0.000329953628402466,10,0.999
EX:GATE_IO,2025-05-11,Q0.9500_0.9700,3.554620673061754e-05,3.6542762461534132e-06,1052,0.09150422529893121,4.5395043202129125e-05,0.4165113929465421,0.00010781244638425985,0.8105641327940247,True,0.00012269503085798658,10,0.999
EX:GATE_IO,2025-05-11,Q0.9700_0.9900,2.9712868968640597e-05,3.178350750379448e-06,1043,0.1194778756666145,4.3077429367081604e-05,0.39334491710743313,6.426259048074185e-05,0.42846121165021356,True,0.00010855028373826306,10,0.999
EX:GATE_IO,2025-05-12,Q0.8000_0.9000,5.2450612031719305e-05,2.7883572601386252e-06,8304,0.06145833202006734,0.00012466789192756925,0.02373692400635647,3.8797223950378114e-05,0.17353409379810428,True,0.0010577834833445238,10,0.999
EX:GATE_IO,2025-05-12,Q0.9000_0.9500,3.480350969820449e-05,2.166308121425567e-06,5399,0.05060877723236634,0.00010302526718289107,0.06387208651384886,9.21336013904537e-05,0.3610442740674194,True,0.000733300635985116,10,0.999
EX:GATE_IO,2025-05-12,Q0.9500_0.9700,3.185393355986209e-05,2.9731813270783593e-06,2117,0.06491852670535081,4.366564119492741e-05,0.3922081951041482,9.004342516355477e-05,0.7047149879105714,True,0.00028682821902311457,10,0.999
EX:GATE_IO,2025-05-12,Q0.9700_0.9900,2.9901741366117148e-05,2.11267730254375e-06,1863,0.1148465064766635,5.478438508655277e-05,0.3267880431299757,5.952987817171263e-05,0.31131876135393144,True,0.00020789564963725126,10,0.999
