label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost
EX:GATE_IO,2025-05-19,Q0.9700_0.9900,4.064184814068125e-05,9.755419621417904e-06,1057,0.039767768280341786,0.00022873933003749283,0.0013333750393706876,0.0005939229035956042,0.7566297885427432,True,0.0006606182731372246
EX:GATE_IO,2025-05-20,Q0.8000_0.9000,5.610688655713624e-05,8.274019846361168e-06,6332,0.01065663273448425,0.00011704763732447825,0.07906507340307585,9.852489795804105e-05,0.4872390672080142,True,0.005222165861961836
EX:GATE_IO,2025-05-20,Q0.9000_0.9500,2.5855798480528688e-05,6.4367744530737074e-06,3042,0.007336317750419208,9.290427467223852e-05,1.00000560347043e-06,0.00026821790711311976,1.1530194936885667,True,0.0016977544403647775
EX:GATE_IO,2025-05-21,Q0.8000_0.9000,6.634484308226276e-05,8.116085868497964e-06,6531,0.015046919914687429,0.0001644407838638982,1.0000000002613215e-06,0.0001122241414804605,0.3919840956869405,True,0.00542989336053954
EX:GATE_IO,2025-05-21,Q0.9000_0.9500,4.0343723847386994e-05,9.595859484019007e-06,2292,0.011698544526011045,1.2367248961238696e-05,0.9793251503408913,3.685528269301492e-05,1.1927425745412017,True,0.0018347797875105606
EX:GATE_IO,2025-05-21,Q0.9500_0.9700,4.659850623814001e-05,1.269089889209905e-05,1015,0.026025743449155758,1.133691682324318e-05,0.9852018806549149,5.98176321006327e-05,1.797739646079636,True,0.0007615357232907882
EX:GATE_IO,2025-05-22,Q0.8000_0.9000,6.669299857442633e-05,7.742612408523378e-06,5503,0.025786066050064838,0.00016355955944721856,1.0000000004488122e-06,9.383869193452327e-05,0.33251780854345125,True,0.0026245277425747506
EX:GATE_IO,2025-05-22,Q0.9000_0.9500,3.5958363520103414e-05,7.949526401692133e-06,2104,0.020552117039718154,0.00012491496766539947,0.0010089441908311073,0.0002806496146304148,0.9116137901862009,True,0.0007677499239746443
EX:GATE_IO,2025-05-23,Q0.8000_0.9000,5.775647008310873e-05,7.602841365051313e-06,8924,0.011356004822236199,0.00012233924347909806,0.0729158697290136,8.424435186762317e-05,0.3968938650027644,True,0.007374851568679084
EX:GATE_IO,2025-05-23,Q0.9000_0.9500,2.7346402581761342e-05,8.137252607911743e-06,3531,0.006816812152115936,9.626418640953618e-05,6.985698245071614e-06,0.0003008698631721811,1.2652338215988501,True,0.002290526238087844
EX:GATE_IO,2025-05-23,Q0.9500_0.9700,3.8126750748814285e-05,1.0581174951528578e-05,1166,0.018524731372492664,0.00016511123730252177,0.0002474789737112935,0.0008911341569571579,1.8600592871310078,True,0.00082041223206806
EX:GATE_IO,2025-05-23,Q0.9700_0.9900,2.7552319594807118e-05,5.913010634628079e-06,1221,0.017663154176519646,8.874825725600022e-05,0.16196629971666252,0.0003246276147675095,1.0619754205121894,True,0.0008083515172101246
EX:GATE_IO,2025-05-24,Q0.8000_0.9000,4.827447889071219e-05,1.120793105022892e-05,3440,0.009983769060528003,4.918194437379498e-05,0.48935153299626866,6.0240028052622155e-05,0.6938918817926547,True,0.002218817720120771
EX:GATE_IO,2025-05-24,Q0.9000_0.9500,4.595625484150738e-05,1.0494326630822172e-05,1356,0.021270697534663707,1.3544016121368691e-05,0.9969862134593551,4.0883020746557834e-05,1.2068676943697574,True,0.0007718518503371428
EX:GATE_IO,2025-05-25,Q0.8000_0.9000,7.528689785699003e-05,8.651497121376349e-06,4675,0.02489315638889189,4.6214589728298836e-05,0.7757181735226166,3.027969340653488e-05,0.36139246853082885,True,0.0029174203461845827
EX:GATE_IO,2025-05-25,Q0.9000_0.9500,3.693212621372989e-05,8.504551857902529e-06,1756,0.015451527538108856,1.317326721169181e-05,0.9158052686957234,3.906579217939749e-05,1.1850511563327089,True,0.0008949232435898476
EX:GATE_IO,2025-05-26,Q0.8000_0.9000,4.6053451717648015e-05,8.117537613597131e-06,3796,0.015401116695642925,9.49887417005964e-05,0.08638205687890484,8.072193019445232e-05,0.49197846048093063,True,0.0014510457735884157
EX:GATE_IO,2025-05-26,Q0.9000_0.9500,1.6581488525631782e-05,7.0728045642016196e-06,1833,0.004642902111553604,5.982667598654836e-05,1.0000000003154151e-06,0.0002971810996109485,2.027863133606494,True,0.0006301526399304978
