date,next_date,ccy,available,active,reason_unavailable,s5_lend,s5_fund,spread,ret_equity,ret_notional,pnl_usd,lend_pnl_usd,lend_pnl_rates,lend_pnl_fx,debt_cost_usd,debt_cost_interest,debt_cost_fx
2020-07-29,2020-08-05,PKR,0,0,missing_curve,,-0.0005579566649826964,,,,0.0,,,,,,
2020-07-29,2020-08-05,TRY,0,0,no_1y_5y_coverage,,-0.0005579566649826964,,,,0.0,,,,,,
2020-07-29,2020-08-05,ZAR,0,0,no_1y_5y_coverage,,-0.0005579566649826964,,,,0.0,,,,,,
2020-08-05,2020-08-12,BRL,1,1,,0.052687,-0.0004952435840192008,0.0531822435840192,-0.04044129230265226,-0.008088258460530453,-80882.58460530452,-125584.39450869896,43676.372300602496,-169260.76680930145,-44701.80990339443,857.2307692319155,-45559.040672626346
2020-08-05,2020-08-12,NGN,0,0,missing_curve,,-0.0004952435840192008,,,,0.0,,,,,,
2020-08-05,2020-08-12,PKR,0,0,missing_curve,,-0.0004952435840192008,,,,0.0,,,,,,
2020-08-05,2020-08-12,TRY,0,0,no_1y_5y_coverage,,-0.0004952435840192008,,,,0.0,,,,,,
2020-08-05,2020-08-12,ZAR,0,0,no_1y_5y_coverage,,-0.0004952435840192008,,,,0.0,,,,,,
2020-08-12,2020-08-19,BRL,1,1,,0.052059715596330276,0.0002554861343331805,0.051804229461997094,-0.1529522859739242,-0.030590457194784842,-305904.5719478484,-172052.0579533726,-16652.88109195046,-155399.17686142214,133852.51399447583,855.8461538460106,132996.66784062982
2020-08-12,2020-08-19,NGN,0,0,missing_curve,,0.0002554861343331805,,,,0.0,,,,,,
2020-08-12,2020-08-19,PKR,0,0,missing_curve,,0.0002554861343331805,,,,0.0,,,,,,
2020-08-12,2020-08-19,TRY,0,0,no_1y_5y_coverage,,0.0002554861343331805,,,,0.0,,,,,,
2020-08-12,2020-08-19,ZAR,0,0,no_1y_5y_coverage,,0.0002554861343331805,,,,0.0,,,,,,
2020-08-19,2020-08-26,BRL,1,1,,0.05277921712538226,-4.4700173816372525e-05,0.052823917299198636,-0.015996700744100846,-0.0031993401488201695,-31993.401488201693,-92392.02055670507,-16459.84914248623,-75932.17141421884,-60398.61906850338,855.6923076920211,-61254.3113761954
2020-08-19,2020-08-26,NGN,0,0,missing_curve,,-4.4700173816372525e-05,,,,0.0,,,,,,
2020-08-19,2020-08-26,PKR,0,0,missing_curve,,-4.4700173816372525e-05,,,,0.0,,,,,,
2020-08-19,2020-08-26,TRY,0,0,no_1y_5y_coverage,,-4.4700173816372525e-05,,,,0.0,,,,,,
2020-08-19,2020-08-26,ZAR,0,0,no_1y_5y_coverage,,-4.4700173816372525e-05,,,,0.0,,,,,,
2020-08-26,2020-09-02,BRL,1,1,,0.05349871865443425,0.0003438307594270339,0.05315488789500722,0.0189743596215304,0.0037948719243060796,37948.7192430608,186697.25031137094,-16150.975329656154,202848.2256410271,148748.53106831014,853.3846153831109,147895.14645292703
2020-08-26,2020-09-02,NGN,0,0,missing_curve,,0.0003438307594270339,,,,0.0,,,,,,
2020-08-26,2020-09-02,PKR,0,0,missing_curve,,0.0003438307594270339,,,,0.0,,,,,,
2020-08-26,2020-09-02,TRY,0,0,no_1y_5y_coverage,,0.0003438307594270339,,,,0.0,,,,,,
2020-08-26,2020-09-02,ZAR,0,0,no_1y_5y_coverage,,0.0003438307594270339,,,,0.0,,,,,,
2020-09-02,2020-09-09,BRL,1,1,,0.054218220183486245,-0.00011732037042393875,0.05433554055391018,0.14885285153159267,0.029770570306318533,297705.7030631853,52375.15267497301,-15801.832099495456,68176.98477446847,-245330.55038821232,853.3846153840423,-246183.93500359636
2020-09-02,2020-09-09,NGN,0,0,missing_curve,,-0.00011732037042393875,,,,0.0,,,,,,
2020-09-02,2020-09-09,PKR,0,0,missing_curve,,-0.00011732037042393875,,,,0.0,,,,,,
2020-09-02,2020-09-09,TRY,0,0,no_1y_5y_coverage,,-0.00011732037042393875,,,,0.0,,,,,,
2020-09-02,2020-09-09,ZAR,0,0,no_1y_5y_coverage,,-0.00011732037042393875,,,,0.0,,,,,,
2020-09-09,2020-09-16,BRL,1,1,,0.05493772171253823,-0.00015056750317996704,0.0550882892157182,0.0951977544119046,0.01903955088238092,190395.5088238092,147621.9921736233,-15642.79809630476,163264.79026992805,-42773.51665018592,853.8461538460106,-43627.36280403193
2020-09-09,2020-09-16,NGN,0,0,missing_curve,,-0.00015056750317996704,,,,0.0,,,,,,
2020-09-09,2020-09-16,PKR,0,0,missing_curve,,-0.00015056750317996704,,,,0.0,,,,,,
2020-09-09,2020-09-16,TRY,0,0,no_1y_5y_coverage,,-0.00015056750317996704,,,,0.0,,,,,,
2020-09-09,2020-09-16,ZAR,0,0,no_1y_5y_coverage,,-0.00015056750317996704,,,,0.0,,,,,,
2020-09-16,2020-09-23,BRL,1,1,,0.05565722324159022,-0.0002821070735289576,0.055939330315119176,-0.13054284853641548,-0.0261085697072831,-261085.69707283098,-371456.0662488546,-15433.154238598421,-356022.9120102562,-110370.36917602364,855.076923077926,-111225.44609910157
2020-09-16,2020-09-23,NGN,0,0,missing_curve,,-0.0002821070735289576,,,,0.0,,,,,,
2020-09-16,2020-09-23,PKR,0,0,missing_curve,,-0.0002821070735289576,,,,0.0,,,,,,
2020-09-16,2020-09-23,TRY,0,0,no_1y_5y_coverage,,-0.0002821070735289576,,,,0.0,,,,,,
2020-09-16,2020-09-23,ZAR,0,0,no_1y_5y_coverage,,-0.0002821070735289576,,,,0.0,,,,,,
2020-09-23,2020-09-30,BRL,1,1,,0.056376724770642206,-0.00030410726646507914,0.05668083203710728,-0.18924989595771907,-0.037849979191543814,-378499.79191543814,-300121.37474469095,-15230.489274885505,-284890.88546980545,78378.41717074718,852.1538461539894,77526.2633245932
2020-09-23,2020-09-30,NGN,0,0,missing_curve,,-0.00030410726646507914,,,,0.0,,,,,,
2020-09-23,2020-09-30,PKR,0,0,no_1y_5y_coverage,,-0.00030410726646507914,,,,0.0,,,,,,
2020-09-23,2020-09-30,TRY,0,0,no_1y_5y_coverage,,-0.00030410726646507914,,,,0.0,,,,,,
2020-09-23,2020-09-30,ZAR,0,0,no_1y_5y_coverage,,-0.00030410726646507914,,,,0.0,,,,,,
2020-09-30,2020-10-07,BRL,1,1,,0.05709622629969419,-0.00022460774746083483,0.05732083404715503,0.011079206018238794,0.002215841203647759,22158.412036477588,52290.38410560228,-15353.13096090965,67643.51506651193,30131.97206912469,847.5384615398943,29284.433607584797
2020-09-30,2020-10-07,NGN,0,0,missing_curve,,-0.00022460774746083483,,,,0.0,,,,,,
2020-09-30,2020-10-07,PKR,0,0,no_1y_5y_coverage,,-0.00022460774746083483,,,,0.0,,,,,,
2020-09-30,2020-10-07,TRY,0,0,no_1y_5y_coverage,,-0.00022460774746083483,,,,0.0,,,,,,
2020-09-30,2020-10-07,ZAR,0,0,no_1y_5y_coverage,,-0.00022460774746083483,,,,0.0,,,,,,
2020-10-07,2020-10-14,BRL,1,1,,0.05781572782874618,0.00015401133499776538,0.05766171649374841,0.16464643369796547,0.03292928673959309,329292.8673959309,351588.39020201936,309029.6191359982,42558.771066021174,22295.52280608844,852.3076923070475,21443.215113781393
2020-10-07,2020-10-14,NGN,0,0,missing_curve,,0.00015401133499776538,,,,0.0,,,,,,
2020-10-07,2020-10-14,PKR,0,0,no_1y_5y_coverage,,0.00015401133499776538,,,,0.0,,,,,,
2020-10-07,2020-10-14,TRY,0,0,no_1y_5y_coverage,,0.00015401133499776538,,,,0.0,,,,,,
2020-10-07,2020-10-14,ZAR,0,0,no_1y_5y_coverage,,0.00015401133499776538,,,,0.0,,,,,,
