date,ccy,pv_entry,abs_err,min_tenor,max_tenor
2020-06-10,BRL,1.0,0.0,1.0,10.0
2020-06-10,TRY,1.0,0.0,1.0,10.0
2020-06-17,BRL,1.0,0.0,1.0,10.0
2020-06-17,TRY,1.0,0.0,1.0,10.0
2020-06-24,BRL,1.0,0.0,1.0,10.0
2020-06-24,TRY,1.0,0.0,1.0,10.0
2020-07-01,BRL,1.0,0.0,1.0,10.0
2020-07-01,TRY,1.0,0.0,1.0,10.0
2020-07-08,BRL,1.0,0.0,1.0,10.0
2020-07-08,TRY,1.0,0.0,1.0,10.0
2020-07-15,BRL,1.0,0.0,1.0,10.0
2020-07-22,BRL,1.0,0.0,1.0,10.0
2020-07-29,BRL,1.0,0.0,1.0,10.0
2020-08-05,BRL,1.0,0.0,1.0,10.0
2020-08-12,BRL,1.0,0.0,1.0,10.0
2020-08-19,BRL,1.0,0.0,1.0,10.0
2020-08-26,BRL,1.0,0.0,1.0,10.0
2020-09-02,BRL,1.0,0.0,1.0,10.0
2020-09-09,BRL,1.0,0.0,1.0,10.0
2020-09-16,BRL,1.0,0.0,1.0,10.0
2020-09-23,BRL,1.0,0.0,1.0,10.0
2020-09-30,BRL,1.0,0.0,1.0,10.0
2020-10-07,BRL,1.0,0.0,1.0,10.0
2020-10-14,BRL,1.0,0.0,1.0,10.0
2020-10-21,BRL,1.0,0.0,1.0,10.0
2020-10-28,BRL,1.0,0.0,1.0,10.0
2020-11-04,BRL,1.0,0.0,1.0,10.0
2020-11-11,BRL,1.0,0.0,1.0,10.0
2020-11-18,BRL,1.0,0.0,1.0,10.0
2020-11-25,BRL,1.0,0.0,1.0,10.0
2020-12-02,BRL,1.0,0.0,1.0,10.0
2020-12-02,TRY,,,1.0,5.0
2020-12-09,BRL,1.0,0.0,1.0,10.0
2020-12-09,TRY,1.0,0.0,1.0,10.0
2020-12-16,BRL,1.0,0.0,1.0,10.0
2020-12-16,TRY,1.0,0.0,1.0,10.0
2020-12-23,BRL,1.0,0.0,1.0,10.0
2020-12-23,TRY,1.0,0.0,1.0,10.0
2020-12-30,BRL,1.0,0.0,1.0,10.0
2020-12-30,TRY,1.0,0.0,1.0,10.0
2021-01-06,BRL,1.0,0.0,1.0,10.0
2021-01-06,TRY,1.0,0.0,1.0,10.0
2021-01-13,BRL,1.0,0.0,1.0,10.0
2021-01-13,TRY,1.0,0.0,1.0,10.0
2021-01-20,BRL,1.0,0.0,1.0,10.0
2021-01-20,TRY,1.0,0.0,1.0,10.0
2021-01-27,BRL,1.0,0.0,1.0,10.0
2021-01-27,TRY,1.0,0.0,1.0,10.0
2021-02-03,BRL,1.0,0.0,1.0,10.0
2021-02-03,TRY,1.0,0.0,1.0,10.0
2021-02-10,BRL,1.0,0.0,1.0,10.0
2021-02-10,TRY,1.0,0.0,1.0,10.0
2021-02-17,BRL,1.0,0.0,1.0,10.0
2021-02-17,TRY,1.0,0.0,1.0,10.0
2021-02-24,BRL,1.0,0.0,1.0,10.0
2021-02-24,TRY,1.0,0.0,1.0,10.0
2021-03-03,BRL,1.0,0.0,1.0,10.0
2021-03-10,BRL,1.0,0.0,1.0,10.0
2021-03-17,BRL,1.0,0.0,1.0,10.0
2021-03-24,BRL,1.0,0.0,1.0,10.0
2021-03-31,BRL,1.0,0.0,1.0,10.0
2021-04-07,BRL,1.0,0.0,1.0,10.0
2021-04-14,BRL,1.0,0.0,1.0,10.0
2021-04-14,TRY,1.0,0.0,1.0,10.0
2021-04-21,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2021-04-21,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2021-04-28,BRL,1.0,0.0,1.0,10.0
2021-04-28,TRY,1.0,0.0,1.0,10.0
2021-05-05,BRL,1.0,0.0,1.0,10.0
2021-05-05,TRY,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2021-05-12,BRL,1.0,0.0,1.0,10.0
2021-05-12,TRY,1.0,0.0,1.0,10.0
2021-05-19,BRL,1.0,0.0,1.0,10.0
2021-05-19,TRY,1.0,0.0,1.0,10.0
2021-05-26,BRL,1.0,0.0,1.0,10.0
2021-05-26,TRY,1.0,0.0,1.0,10.0
2021-06-02,BRL,1.0,0.0,1.0,10.0
2021-06-02,TRY,0.9999999999999998,2.220446049250313e-16,1.0,10.0
2021-06-09,BRL,1.0,0.0,1.0,10.0
2021-06-09,TRY,1.0,0.0,1.0,10.0
2021-06-16,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2021-06-16,TRY,1.0,0.0,1.0,10.0
2021-06-23,BRL,1.0,0.0,1.0,10.0
2021-06-23,TRY,1.0,0.0,1.0,10.0
2021-06-30,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2021-06-30,TRY,1.0,0.0,1.0,10.0
2021-07-07,BRL,1.0,0.0,1.0,10.0
2021-07-07,TRY,1.0,0.0,1.0,10.0
2021-07-14,BRL,1.0,0.0,1.0,10.0
2021-07-14,TRY,1.0,0.0,1.0,10.0
2021-07-21,BRL,0.9999999999999999,1.1102230246251565e-16,1.0,10.0
2021-07-21,TRY,1.0,0.0,1.0,10.0
2021-07-28,BRL,1.0,0.0,1.0,10.0
2021-07-28,TRY,1.0,0.0,1.0,10.0
2021-08-04,BRL,1.0,0.0,1.0,10.0
2021-08-04,TRY,1.0,0.0,1.0,10.0
2021-08-11,BRL,1.0,0.0,1.0,10.0
2021-08-11,TRY,1.0,0.0,1.0,10.0
2021-08-18,BRL,1.0,0.0,1.0,10.0
2021-08-18,TRY,1.0,0.0,1.0,10.0
2021-08-25,BRL,1.0,0.0,1.0,10.0
2021-08-25,TRY,1.0,0.0,1.0,10.0
2021-09-01,BRL,1.0,0.0,1.0,10.0
2021-09-01,TRY,1.0,0.0,1.0,10.0
2021-09-08,BRL,1.0,0.0,1.0,10.0
2021-09-08,TRY,1.0,0.0,1.0,10.0
2021-09-15,BRL,1.0,0.0,1.0,10.0
2021-09-15,TRY,1.0,0.0,1.0,10.0
2021-09-22,BRL,1.0,0.0,1.0,10.0
